Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
Green Energy Park,-,Marchena-Spain,-,Morocco,37.338137,-5.338935,UTC+0,110.0,UTC+1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Relative Humidity
2006,1,1,0,0,0.0,0.0,0.0,10.309050000000012,12.577170000000024,1024.3356,246.06734411307903,4.312951919194687,86.0613770795692
2006,1,1,1,0,0.0,0.0,0.0,10.537130000000047,12.88986,1023.93875,254.24878775336865,4.566212285552106,85.6095079966228
2006,1,1,2,0,0.0,0.0,0.0,10.499960000000044,12.388400000000049,1024.0944,265.71290520477635,4.432459337572365,88.25149361991186
2006,1,1,3,0,0.0,0.0,0.0,9.320700000000045,10.706200000000024,1024.3431,279.5002762556548,4.066425313125259,91.14221687657898
2006,1,1,4,0,0.0,0.0,0.0,9.20876000000004,10.483450000000005,1024.3756,282.56563803024096,3.3883028167694884,91.8103058145154
2006,1,1,5,0,0.0,0.0,0.0,8.277919999999995,9.906949999999997,1024.31625,273.90273387954835,2.8101790142621264,89.59585852734413
2006,1,1,6,0,0.0,0.0,0.0,7.634580000000028,9.392200000000004,1024.5669,257.2755623494362,2.4876848304716197,88.77307564992223
2006,1,1,7,0,16.0357,3.6352,4.3656,7.373739999999998,9.27764000000002,1024.56,246.30061900973763,2.5575329941017224,87.88040414709893
2006,1,1,8,0,160.2482,56.3974,74.7019,7.421600000000012,9.908900000000015,1024.85625,242.5204570068529,2.6854141295842044,84.50816908248098
2006,1,1,9,0,5.0433,122.8925,124.288,7.443200000000047,10.044460000000017,1025.5,251.2426270663537,3.021233566508653,83.86825216001371
2006,1,1,10,0,414.9647,135.0556,309.3062,7.832539999999994,12.160900000000026,1026.2206,264.29046445489064,2.9611010431341587,74.84066605897092
2006,1,1,11,0,723.4252,126.9208,469.9835,8.287680000000023,13.180020000000011,1025.94,285.51276082105085,3.8014471590874135,72.20586476777298
2006,1,1,12,0,832.9421,109.504,519.9332,8.249840000000006,13.575400000000002,1024.93875,305.3876083951884,4.172404576763787,70.18857187298411
2006,1,1,13,0,819.9396,104.4168,484.8137,7.787840000000017,14.271540000000016,1024.4375,308.03553629152947,4.118250237342478,65.01296140531264
2006,1,1,14,0,767.3492,93.8133,391.4797,6.178060000000016,15.18810000000002,1023.8831,306.0491912298913,4.106714036094927,54.875406532667
2006,1,1,15,0,506.6069,87.6545,229.8018,5.869600000000048,15.203940000000046,1023.46125,306.43858186550113,4.032902329700303,53.66299296378488
2006,1,1,16,0,319.2769,40.5747,83.0278,5.467830000000049,15.105250000000012,1023.715,306.5439196703724,3.5321769266224377,52.520864887415385
2006,1,1,17,0,1.5275,0.8295,0.8836,5.841360000000009,13.343230000000004,1024.1044,298.44642838123275,2.2888976244670665,60.41120834885773
2006,1,1,18,0,0.0,0.0,0.0,5.7654,12.18440000000004,1024.61,288.04777289768947,1.7230357955452522,64.83233473971414
2006,1,1,19,0,0.0,0.0,0.0,5.797400000000039,11.903340000000014,1024.84,281.6719908825471,1.588340173770174,66.19023751209087
2006,1,1,20,0,0.0,0.0,0.0,6.155420000000049,11.21980000000002,1025.1525,282.08485261226696,1.750868359352153,70.9863430573964
2006,1,1,21,0,0.0,0.0,0.0,4.734340000000032,9.602840000000016,1025.30625,286.49185059693053,1.806464947960685,71.64209242083571
2006,1,1,22,0,0.0,0.0,0.0,4.514300000000048,7.497280000000046,1026.0394,303.5043666855771,1.999092983913855,81.36271010469564
2006,1,1,23,0,0.0,0.0,0.0,4.249400000000037,6.86850000000004,1025.9425,314.12130088358253,2.3055863858588364,83.38097395235415
2006,1,2,0,0,0.0,0.0,0.0,4.066400000000044,6.894620000000032,1025.7631,303.6060060950037,2.3364621449193907,82.16936028018587
2006,1,2,1,0,0.0,0.0,0.0,4.143150000000048,7.273099999999999,1025.685,295.8513355423421,1.923421569646148,80.49787600142693
2006,1,2,2,0,0.0,0.0,0.0,4.5984000000000265,8.429470000000038,1025.81375,292.6699839020447,1.494790302654593,76.81197746624146
2006,1,2,3,0,0.0,0.0,0.0,3.9891300000000456,7.072350000000029,1025.90125,277.15618103068937,1.01603232338762,80.73416015361418
2006,1,2,4,0,0.0,0.0,0.0,4.354820000000018,7.305870000000027,1025.7394,276.2366908174305,0.8656426192892576,81.51884474303236
2006,1,2,5,0,0.0,0.0,0.0,4.36187000000001,7.131040000000041,1025.68,277.17101718328706,0.8179981329561733,82.54123856306778
2006,1,2,6,0,0.0,0.0,0.0,4.501460000000009,7.082670000000007,1025.8919,186.25648259103417,0.4325076493386557,83.62883946790453
2006,1,2,7,0,36.2932,3.1771,4.7557,4.82256000000001,7.191370000000006,1026.0125,143.5780171545502,0.4547868470061469,84.89255552475873
2006,1,2,8,0,511.6225,38.1272,116.1721,4.161400000000015,6.226040000000012,1026.4306,119.07399744474333,0.6042111236670378,86.61489541882047
2006,1,2,9,0,761.5784,60.2147,283.1315,5.184300000000008,6.684600000000046,1026.71375,105.35193264494752,0.6256889683152402,90.14117107447083
2006,1,2,10,0,861.5974,70.7191,418.9323,5.512300000000039,10.963530000000048,1027.3606,29.11001508072448,0.8152752265148691,69.05941994808077
2006,1,2,11,0,905.0802,75.7826,503.9659,5.913100000000043,11.59268000000003,1027.445,21.9906654780234,1.811712471939846,68.10511011779641
2006,1,2,12,0,915.1381,77.3893,529.5641,6.268820000000005,12.225300000000004,1026.7106,25.795569827703915,2.069095340914324,66.94811045758028
