Latitude (decimal degrees) : 34.7205
Longitude (decimal degrees) : -2.020633
Elevation (m) : 642.0
month,year
01,2010
02,2010
03,2010
04,2010
05,2010
06,2010
07,2010
08,2010
09,2010
10,2010
11,2010
12,2010
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20100101:0000,11.490080000000034,70.69776200098084,0.0,0.0,0.0,0.0,5.689763518756847,240.1962471910247,1015.145
20100101:0100,11.34722000000005,71.79737360125273,0.0,0.0,0.0,0.0,5.377382077535964,241.3484714302414,1015.44625
20100101:0200,11.15390000000002,74.82424320178865,0.0,0.0,0.0,0.0,4.860429825828098,243.0423891224084,1015.7294
20100101:0300,11.899740000000008,71.88449748805394,0.0,0.0,0.0,0.0,4.487617606431227,244.9527537514384,1015.8756
20100101:0400,11.991480000000024,70.95407292228596,0.0,0.0,0.0,0.0,3.948332765254024,244.5230975516025,1016.1481
20100101:0500,11.980580000000032,71.62353294158322,0.0,0.0,0.0,0.0,3.608907519611385,239.80166550120552,1015.7669
20100101:0600,11.838600000000042,72.72901589330807,0.0,0.0,0.0,0.0,3.6011818336281327,239.5035588062659,1016.2781
20100101:0700,11.519980000000032,73.39316673404753,24.3679,80.1941,17.1607,29.282215829238147,3.9182460718639143,239.12555549744548,1017.065
20100101:0800,12.09250000000003,70.57406032093834,176.5936,476.8093,74.0601,256.8459731609815,4.374356806051605,234.17471566628765,1017.8544
20100101:0900,12.407070000000031,68.6601320849572,347.2296,688.9256,103.2906,504.2679704269152,4.589050546919989,234.93019277845085,1018.3256
20100101:1000,15.15273000000002,53.71140768930777,477.81,779.3547,119.6237,695.1854326146646,5.20784440915645,236.9269100757028,1018.52
20100101:1100,15.595000000000027,54.01128635029213,552.7649,816.778,128.2839,815.9572819161525,5.459142390283764,247.10747782902848,1018.22625
20100101:1200,16.251180000000033,51.42245409015717,565.1118,821.9424,129.7463,857.3965947816166,6.057899811535293,261.4419032320198,1017.41
20100101:1300,16.18905000000001,51.38691385345997,359.4663,313.7368,200.737,464.76038845524226,5.716742482112931,265.6657937636242,1017.0556
20100101:1400,16.5437,51.73259535474198,163.7228,59.7417,141.7044,181.85438623567595,4.79511455903946,271.6201641664643,1017.11875
20100101:1500,16.324730000000045,52.29123795439254,174.9003,228.8811,118.6396,262.2494837717006,4.219871117091669,286.06844890815205,1017.4875
