datetime_x,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,DHI,DNI,Temperature,Dew Point,Wind Speed,Wind Direction,Relative Humidity,Pressure,Surface solar radiation downwards,datetime_y,min_temp,max_temp,min_dew,max_dew,max_wind_speed,GTI,Year
2010-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.73422000000005,9.588220000000035,0.6944735945337259,359.9446089374368,86.68258968531956,1020.835,0.0,2010-01-01,8.606160000000045,16.03958,6.306500000000028,9.588220000000035,3.4998944114213844,0.0,2010
2010-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.806200000000048,9.452300000000037,0.9522881714725018,3.045743985770656,91.34290384868387,1020.53375,0.0,2010-01-01,8.606160000000045,16.03958,6.306500000000028,9.588220000000035,3.4998944114213844,0.0,2010
2010-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.935140000000048,8.913229999999999,1.2173565060786815,2.1018254855375886,93.35756000279022,1020.2469,0.0,2010-01-01,8.606160000000045,16.03958,6.306500000000028,9.588220000000035,3.4998944114213844,0.0,2010
2010-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.802099999999996,8.938600000000008,1.426047897312314,6.283660274080674,94.35520222113074,1019.8681,0.0,2010-01-01,8.606160000000045,16.03958,6.306500000000028,9.588220000000035,3.4998944114213844,0.0,2010
2010-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.294200000000046,8.57125000000002,1.8297344548446424,12.266153610663054,95.2354730561522,1019.9831,0.0,2010-01-01,8.606160000000045,16.03958,6.306500000000028,9.588220000000035,3.4998944114213844,0.0,2010
2010-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.789180000000044,8.121450000000038,1.8893330013650984,24.946754097154454,95.5746588873798,1019.8844,0.0,2010-01-01,8.606160000000045,16.03958,6.306500000000028,9.588220000000035,3.4998944114213844,0.0,2010
2010-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.606160000000045,7.647800000000018,1.7842482343960215,46.37355921787848,93.69407796967742,1020.1756,0.0,2010-01-01,8.606160000000045,16.03958,6.306500000000028,9.588220000000035,3.4998944114213844,0.0,2010
2010-01-01 07:00:00,22.0008,8.3606,2.1973,6.1633,37.8168,4.6685,4.6683,0.0042,8.633260000000007,7.85626000000002,1.992294298326884,46.35487301975923,94.86087415215816,1020.72,0.0,2010-01-01,8.606160000000045,16.03958,6.306500000000028,9.588220000000035,3.4998944114213844,4.4341335069363454,2010
2010-01-01 08:00:00,239.0349,144.5926,89.4417,55.1509,489.8387,55.7135,55.6051,0.4606,9.80734000000001,8.550870000000032,1.9350256899562988,41.27513953439735,91.8809504886107,1021.6994,16832.0,2010-01-01,8.606160000000045,16.03958,6.306500000000028,9.588220000000035,3.4998944114213844,52.96221484816929,2010
2010-01-01 09:00:00,470.9587,336.9446,255.0533,81.8914,756.5875,234.2268,138.3015,253.2888,10.451999999999998,9.12360000000001,1.477715324028284,70.90685154321409,91.47653995168136,1022.2381,319808.0,2010-01-01,8.606160000000045,16.03958,6.306500000000028,9.588220000000035,3.4998944114213844,267.81286143126044,2010
2010-01-01 10:00:00,651.1769,495.055,401.8449,93.2101,867.345,466.5732,119.5518,758.1263,12.726950000000045,8.889800000000037,2.110729796696377,93.55902337373476,77.4721641109238,1022.705,667584.0,2010-01-01,8.606160000000045,16.03958,6.306500000000028,9.588220000000035,3.4998944114213844,654.4623758181172,2010
2010-01-01 11:00:00,767.4114,598.6417,501.5542,97.0875,919.8047,322.9609,268.9026,100.5308,13.495400000000018,8.41805000000005,2.605845786057043,63.361279478008335,71.3648842149803,1022.38875,1141312.0,2010-01-01,8.606160000000045,16.03958,6.306500000000028,9.588220000000035,3.4998944114213844,339.8055197263625,2010
2010-01-01 12:00:00,811.7426,637.9044,540.4939,97.4105,937.3905,532.9858,197.5759,580.8989,14.098839999999996,8.100700000000018,3.027367265106921,44.18846962719472,67.15911163681416,1021.2375,1369728.0,2010-01-01,8.606160000000045,16.03958,6.306500000000028,9.588220000000035,3.4998944114213844,715.0779982780343,2010
