Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
Green Energy Park,-,Amskroud-Morocco,-,Morocco,30.529541,-9.342859,UTC+0,530.0,UTC+1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Relative Humidity
2022,1,1,0,0,0.0,0.0,0.0,-3.87063999999998,14.891380000000026,1024.1206,8.146676019139775,2.43190546703322,27.139188235760976
2022,1,1,1,0,0.0,0.0,0.0,-4.251229999999964,14.531900000000007,1024.2256,6.8604853019955385,2.6620967200879058,26.992776220464204
2022,1,1,2,0,0.0,0.0,0.0,-4.516399999999976,13.98782,1023.97,6.561464882080614,2.909837490690845,27.40720658954128
2022,1,1,3,0,0.0,0.0,0.0,-5.856119999999976,13.694700000000012,1023.9669,7.54162958467991,3.098226796574344,25.235239234214568
2022,1,1,4,0,0.0,0.0,0.0,-6.252569999999992,13.062220000000025,1023.5525,9.292336776860296,3.260375153809217,25.512667019449964
2022,1,1,5,0,0.0,0.0,0.0,-6.838229999999953,12.66805000000005,1023.4769,10.25572897447124,3.311405760153174,25.0292125893978
2022,1,1,6,0,0.0,0.0,0.0,-7.579319999999996,13.009520000000007,1023.7125,10.909668907597876,3.2881256925580704,23.11607407886049
2022,1,1,7,0,33.1027,4.6247,6.3663,-7.0627999999999815,13.025500000000022,1024.1219,11.12592099156825,3.3217850033243272,24.03149077235623
2022,1,1,8,0,489.7877,49.7042,136.5618,-7.196299999999951,13.457449999999994,1024.6769,11.388971360460886,3.399270751170804,23.12451746054293
2022,1,1,9,0,759.0411,77.4156,332.6556,-7.21115999999995,16.8057,1025.31125,13.874823409072404,3.3431049929229477,18.625684859922917
2022,1,1,10,0,871.6797,90.8209,498.4746,-4.947329999999965,21.037260000000003,1025.4881,22.482528669971344,1.8725451831662063,17.004934403494904
2022,1,1,11,0,925.1891,97.2269,610.7498,-7.228769999999997,24.760400000000004,1025.4306,102.14123226784686,0.8277183941876369,11.403805270145096
2022,1,1,12,0,949.0959,97.1652,658.6099,-8.81601999999998,27.14940000000001,1024.7569,175.18689272988487,0.9305580355374772,8.753934327153962
2022,1,1,13,0,951.1097,91.5286,637.9273,-9.6832,28.518760000000043,1023.8425,205.1772280799429,1.6707853490581517,7.551030750582672
2022,1,1,14,0,927.1787,82.5016,550.7772,-8.089879999999994,29.09103000000005,1022.9419,223.283302222671,2.390039694481405,8.275223548974484
2022,1,1,15,0,852.0944,72.3901,403.6082,-7.818899999999985,29.20210000000003,1022.47375,237.7043551229721,2.8983492323557454,8.397182439491143
2022,1,1,16,0,665.3016,56.248,213.1276,-10.044169999999951,28.3956,1022.30875,240.875139775032,3.0143912423688204,7.391597744573483
2022,1,1,17,0,182.8139,16.9065,34.5386,-8.279359999999997,26.33938000000001,1022.8625,234.27865094901816,2.498851052710675,9.572988501483032
2022,1,1,18,0,0.0,0.0,0.0,-6.62045999999998,22.999480000000005,1023.15375,244.3370951800177,1.852826452372419,13.28287136994014
2022,1,1,19,0,0.0,0.0,0.0,-4.576939999999979,22.132960000000026,1023.905,331.03486380872414,0.7147043134017382,16.35503218280856
2022,1,1,20,0,0.0,0.0,0.0,-2.2381999999999493,18.525840000000017,1024.07,50.14932487713446,1.1018997655320073,24.33376486847907
2022,1,1,21,0,0.0,0.0,0.0,-2.8705799999999613,17.345640000000003,1024.785,46.156085763139394,1.34494840712966,25.006927941493963
2022,1,1,22,0,0.0,0.0,0.0,-2.631569999999954,16.866240000000005,1025.4819,41.71288314212034,1.2417348632140273,26.23905414586921
2022,1,1,23,0,0.0,0.0,0.0,-2.4618999999999573,15.623680000000036,1025.7806,17.878131833492816,1.5183567516163945,28.76037298326093
2022,1,2,0,0,0.0,0.0,0.0,-2.0512999999999693,14.41220000000004,1025.6556,10.231035100468516,2.0107623400411643,32.05061198111606
2022,1,2,1,0,0.0,0.0,0.0,-2.285199999999975,14.048600000000022,1025.4381,9.789994350753917,2.286609708290875,32.25125440414332
2022,1,2,2,0,0.0,0.0,0.0,-2.9154399999999896,13.777120000000023,1025.1556,10.91642643040052,2.524130098249115,31.324600041738787
2022,1,2,3,0,0.0,0.0,0.0,-3.4370499999999997,13.52460000000002,1024.98125,10.837503630778642,2.719447206179528,30.62845083840287
2022,1,2,4,0,0.0,0.0,0.0,-3.633519999999976,13.07570000000004,1024.9069,10.316002686415246,2.8388742311100037,31.07823612449557
2022,1,2,5,0,0.0,0.0,0.0,-3.8738799999999856,12.405240000000047,1025.1556,9.491570547404606,2.805946058036013,31.89386042496633
2022,1,2,6,0,0.0,0.0,0.0,-4.270179999999982,11.95675,1025.2231,8.96976072151341,2.727461770319951,31.885377329211924
2022,1,2,7,0,39.4522,4.368,6.3915,-4.809969999999964,11.716360000000009,1025.91375,8.694768177586269,2.740556006329153,31.102675944245867
2022,1,2,8,0,521.2073,46.4682,138.1087,-5.613959999999963,12.323880000000033,1026.27375,8.326330488506215,2.792527063930064,28.11459704586292
2022,1,2,9,0,777.4589,73.1626,334.2546,-4.665079999999989,15.923100000000034,1026.7075,8.846623410957477,2.7226516489061146,23.927515776130523
2022,1,2,10,0,878.5696,88.2282,499.2505,-6.468759999999975,21.02078,1026.94125,8.013423347689681,0.9801826564112484,15.159544212637211
2022,1,2,11,0,923.9465,97.2901,610.7455,-6.305999999999983,24.1694,1027.2069,193.25172147432403,0.8357300697355837,12.682005398729604
2022,1,2,12,0,939.6381,100.6286,657.5589,-5.346299999999985,25.75010000000003,1026.03625,223.3529313380088,1.8074749593611883,12.41918285303935
2022,1,2,13,0,931.9961,98.6877,635.6083,-3.5994999999999777,26.36196000000001,1025.1381,233.832661812886,2.583684273846184,13.664425390403832
2022,1,2,14,0,896.5797,92.6938,547.3576,-4.704259999999977,26.9341,1024.31,239.48873689299324,3.093877451264988,12.159540122934583
2022,1,2,15,0,811.2022,82.6055,399.8622,-2.559550000000001,26.379020000000025,1023.985,245.61963177832916,3.503561127098177,14.750482202089444
2022,1,2,16,0,615.3651,63.193,210.2027,-0.3991999999999507,25.02877000000001,1024.1306,250.61312139547093,3.521593630029128,18.72849852244201
2022,1,2,17,0,158.0037,18.6042,34.3156,1.5343600000000492,23.24072000000001,1024.4019,251.8833143854842,2.7910609420147834,23.973630746979165
2022,1,2,18,0,0.0,0.0,0.0,2.3243700000000445,20.36620000000005,1024.92,247.7214135107313,1.638534274459982,30.22862503410085
2022,1,2,19,0,0.0,0.0,0.0,4.028470000000027,18.19192000000004,1025.545,257.0822974359459,1.928036416873136,39.04181976308176
2022,1,2,20,0,0.0,0.0,0.0,4.272730000000024,18.97344000000004,1025.95625,352.74556121007765,0.506911137542217,37.82205543938691
2022,1,2,21,0,0.0,0.0,0.0,3.767100000000028,16.104520000000036,1026.2925,46.5980351690841,1.0655198939734336,43.74156331795116
2022,1,2,22,0,0.0,0.0,0.0,2.2929600000000505,15.178800000000024,1026.6681,35.31390287499136,1.1163448653781254,41.8098023710765
2022,1,2,23,0,0.0,0.0,0.0,1.1842300000000137,14.146330000000034,1026.71625,14.756551046125026,1.7919060562562146,41.27917708028741
2022,1,3,0,0,0.0,0.0,0.0,-0.2503999999999564,13.754050000000008,1026.31125,9.07872678088603,2.149594529654005,38.168690661764025
2022,1,3,1,0,0.0,0.0,0.0,-1.5869799999999827,12.881920000000036,1026.13625,8.087929939311024,2.2867685589176934,36.63729692387391
2022,1,3,2,0,0.0,0.0,0.0,-2.8141200000000026,12.811200000000042,1025.76375,8.936810304922332,2.5608271592776366,33.61358429997575
2022,1,3,3,0,0.0,0.0,0.0,-4.030499999999961,12.29934000000003,1025.1656,9.484279316999348,2.7689124806148606,31.741235890981105
2022,1,3,4,0,0.0,0.0,0.0,-4.589269999999999,12.063199999999997,1025.07625,9.170554849797568,2.890166946789731,30.910303225373347
2022,1,3,5,0,0.0,0.0,0.0,-4.991919999999993,11.631740000000036,1024.54875,9.878684238069894,3.047798332919311,30.849446597677797
2022,1,3,6,0,0.0,0.0,0.0,-5.586399999999969,11.79254000000003,1024.65875,9.874755401378764,3.117954550515941,29.17694441039877
2022,1,3,7,0,31.0903,4.4224,6.0209,-6.6824399999999855,12.09402,1024.6975,10.315231240493432,3.07231569074349,26.30404081822088
2022,1,3,8,0,482.8847,49.3216,134.7099,-6.723519999999951,11.972920000000045,1025.1675,10.32813706227178,3.0552410271877557,26.43117389473957
2022,1,3,9,0,755.9229,76.9014,331.0018,-4.951799999999992,15.085080000000003,1025.7744,11.321238592084825,2.820755480869929,24.70628529894173
2022,1,3,10,0,870.3074,89.7848,497.3757,-3.3792199999999752,19.25463000000002,1026.4,27.78943281374214,1.055788250730495,21.360916860486988
2022,1,3,11,0,924.9578,95.5502,610.3701,-2.699799999999982,23.060940000000016,1026.2519,152.10350130695986,1.0002703985561217,17.792711539326987
2022,1,3,12,0,945.6439,97.0473,658.7308,-2.7191499999999564,25.055350000000036,1025.20125,177.75926107796684,1.1091396825856474,15.764820476794233
2022,1,3,13,0,940.072,95.1306,638.2635,-3.7327599999999848,26.443480000000022,1024.2875,197.8071936838836,1.0904664527808177,13.463978617278638
2022,1,3,14,0,907.176,89.329,551.1661,-5.498359999999991,27.07122000000004,1023.3175,226.54649795604828,1.570371474052738,11.35774429666134
2022,1,3,15,0,828.2912,79.1405,404.8144,-4.286540000000002,27.05462,1022.63125,246.696392594336,2.302106011574098,12.460250910315944
