datetime_x,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,DHI,DNI,Temperature,Dew Point,Wind Speed,Wind Direction,Relative Humidity,Pressure,Surface solar radiation downwards,datetime_y,min_temp,max_temp,min_dew,max_dew,max_wind_speed,GTI
2020-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.106899999999996,8.561400000000049,1.0131712825050856,135.50460937826193,90.12022882825664,1028.6031,0.0,2020-01-01,8.346220000000017,19.399800000000027,5.670370000000048,13.3981,3.5173091391072395,0.0
2020-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.174220000000048,8.51120000000003,1.3478224362946665,144.18227099199103,89.41085369739594,1028.5006,0.0,2020-01-01,8.346220000000017,19.399800000000027,5.670370000000048,13.3981,3.5173091391072395,0.0
2020-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.759240000000034,8.08157,1.5677814333488955,145.6521381858672,89.28845318093913,1028.0325,0.0,2020-01-01,8.346220000000017,19.399800000000027,5.670370000000048,13.3981,3.5173091391072395,0.0
2020-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23037000000005,7.446770000000015,1.6024983110736564,148.0854090642494,88.60185782649623,1028.42375,0.0,2020-01-01,8.346220000000017,19.399800000000027,5.670370000000048,13.3981,3.5173091391072395,0.0
2020-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.804160000000024,7.150480000000016,1.5641692705901131,150.81293280909344,89.3571179371418,1028.475,0.0,2020-01-01,8.346220000000017,19.399800000000027,5.670370000000048,13.3981,3.5173091391072395,0.0
2020-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.365620000000035,6.7106600000000185,1.7676840000370682,151.77561779906063,89.31361571317382,1028.6094,0.0,2020-01-01,8.346220000000017,19.399800000000027,5.670370000000048,13.3981,3.5173091391072395,0.0
2020-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.384550000000047,6.362630000000024,1.8229158922594784,151.51175482353034,87.08721790753083,1028.7344,0.0,2020-01-01,8.346220000000017,19.399800000000027,5.670370000000048,13.3981,3.5173091391072395,0.0
2020-01-01 07:00:00,11.564,4.0108,1.2425,2.7683,28.528,4.0108,2.7683,28.528,8.346220000000017,5.974199999999996,1.8236950591519137,152.64103544669624,85.0032229699241,1029.1881,0.0,2020-01-01,8.346220000000017,19.399800000000027,5.670370000000048,13.3981,3.5173091391072395,4.467629068359544
2020-01-01 08:00:00,209.017,120.5747,80.4625,40.1122,499.2307,120.5747,40.1122,499.2307,9.814970000000017,5.742330000000038,1.7102474408683008,153.29823814171277,75.7605057540544,1029.7369,14656.0,2020-01-01,8.346220000000017,19.399800000000027,5.670370000000048,13.3981,3.5173091391072395,189.8316589822201
2020-01-01 09:00:00,442.6654,306.0831,240.4757,65.6074,758.7994,306.0831,65.6074,758.7994,10.875879999999997,5.670370000000048,2.187361327133721,155.72673009197428,70.22878852024051,1030.4219,394240.0,2020-01-01,8.346220000000017,19.399800000000027,5.670370000000048,13.3981,3.5173091391072395,454.76861509671136
