datetime,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,DHI,DNI,Temperature,Dew Point,Wind Speed,Wind Direction,Relative Humidity,Pressure,Surface solar radiation downwards
2005-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61790000000002,2.560360000000003,0.3900156819529647,6.593678615650006,86.49443736390849,1028.6769,0.0
2005-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.690300000000036,2.715000000000032,0.5216952773811283,4.084064341913418,87.00875130001238,1028.725,0.0
2005-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.107500000000016,2.324520000000007,0.6156365057927127,3.5254875687822675,88.15153421341473,1028.4475,0.0
2005-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48947000000004,2.0076500000000124,0.619140372171246,4.516211143545007,90.01328140420158,1028.6194,0.0
2005-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3869300000000067,2.0334700000000225,0.6880094703132291,4.602396170064253,90.83466928078109,1028.8556,0.0
2005-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8537000000000035,1.6442800000000375,0.781288540086106,4.350386539123903,91.73885539068266,1028.7431,0.0
2005-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.501860000000022,1.3444000000000074,0.9309492800763234,3.6490322650205087,92.05897175371932,1029.2594,0.0
2005-01-01 07:00:00,23.224,10.7644,6.1983,4.5661,109.6911,10.7644,4.5661,109.6911,2.491970000000037,1.123860000000036,1.0918872097373364,3.2758097837088656,90.67468879564032,1029.7456,0.0
2005-01-01 08:00:00,244.2211,161.9231,128.6434,33.2797,712.2499,161.9231,33.2797,712.2499,3.4892200000000457,1.5774200000000178,1.3030747358568329,3.576334429852409,87.28573743913276,1029.9025,33280.0
2005-01-01 09:00:00,479.3951,359.9261,311.8566,48.0696,911.7109,359.9261,48.0696,911.7109,5.914940000000001,2.622600000000034,1.419587967080812,5.537169985571808,79.38310532906331,1030.37125,502016.0
2005-01-01 10:00:00,662.7703,521.683,465.8777,55.8054,988.6287,521.683,55.8054,988.6287,11.70690000000002,2.585260000000005,0.3224584369465169,65.14362375925107,53.52205640840564,1031.0425,1179584.0
2005-01-01 11:00:00,781.8536,628.2662,568.2316,60.0346,1022.9891,628.2662,60.0346,1022.9891,12.9486,2.2726000000000117,0.5396381022398581,215.22787015757467,48.24228998000785,1030.9731,1723648.0
2005-01-01 12:00:00,828.5311,669.5403,607.2044,62.3359,1031.7604,669.5403,62.3359,1031.7604,13.870750000000044,3.3553,1.1782023267172748,229.20554218877757,49.05722923511254,1029.77625,2103872.0
2005-01-01 13:00:00,799.6211,642.0455,579.1233,62.9223,1019.4652,642.0455,62.9223,1019.4652,14.5856,4.124000000000024,1.605078336897567,235.9058196828432,49.4445668943312,1028.8406,2263744.0
2005-01-01 14:00:00,697.092,548.6643,487.8081,60.8562,984.3445,548.6643,60.8562,984.3445,15.55540000000002,4.238200000000006,1.8934381549427408,235.85748429593184,46.82912779678959,1027.8406,2173184.0
2005-01-01 15:00:00,527.9282,397.8992,342.9095,54.9897,911.2122,397.8992,54.9897,911.2122,15.231840000000034,4.271749999999997,2.038122186608195,237.10051888855963,47.923744389345,1027.6644,1844288.0
2005-01-01 16:00:00,303.6538,206.1391,164.1513,41.9877,743.2324,206.1391,41.9877,743.2324,14.553770000000045,4.293540000000007,2.0449658761826344,238.81819257813373,50.13913524920588,1027.6056,1315968.0
