#Meteo hourly data
#Site,Takoultimt-Morocco
#Country,Morocco
#Data Source,Cams Solar radiations and ERA5 for meteorological data
#Time step,Hour
#Year,2050
#Latitude,30.791332
#Longitude,-8.339009
#Altitude,922.0
#Time zone,UTC+01:00
#Plane tilt,30
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,GPI,Tamb,WindVel,Press,RelHum
,,,,,W/m2,W/m2,W/m2,W/m2,deg.C,m/s,mb,%
2050,7,8,3,0,0.0,0.0,0.0,0.0,21.52290000000005,1.7407316576554384,1015.0544,24.83417695551896
2050,7,8,4,0,0.0,0.0,0.0,0.0,20.797000000000025,1.949185941708492,1015.105,26.34524421153273
2050,7,8,5,0,3.3427,3.1983,3.0796,3.040034134808105,19.80483000000004,2.206444607214269,1015.14125,27.276549765394137
2050,7,8,6,0,100.9167,66.7163,172.9561,63.93718958999025,19.877220000000023,2.319366697709245,1015.34,25.21394485858204
2050,7,8,7,0,305.1206,135.4073,446.8207,172.89103250508148,22.710200000000043,1.2601117093563412,1015.3906,21.13948661323532
2050,7,8,8,0,526.6162,178.9436,611.4854,376.0742658949729,26.41097000000002,1.6060130540347335,1015.675,15.909702269553492
2050,7,8,9,0,727.3273,206.253,708.6167,587.7427228528645,27.743280000000027,1.613294367162013,1015.63,18.97055321018074
2050,7,8,10,0,887.0059,222.5391,766.9846,772.7202315614363,31.14425,1.920490227342291,1015.0306,11.859284787101393
2050,7,8,11,0,992.3882,231.1148,799.6008,908.4502988592986,31.299770000000024,2.6116103595981253,1015.2231,14.491323224892632
2050,7,8,12,0,1033.7007,235.4785,809.1692,978.7960493982956,31.90463,2.7292184137773474,1014.9225,16.51062409625749
2050,7,8,13,0,1007.7604,235.9663,797.976,975.7183204436514,32.50057000000004,3.173967825855051,1014.2106,17.783043276386138
2050,7,8,14,0,918.0256,230.0653,768.2216,899.9018833202681,33.26937000000004,3.747464527507004,1014.0269,14.110784907280513
