Latitude (decimal degrees) : 30.425065
Longitude (decimal degrees) : -9.582163
Elevation (m) : 222.0
month,year
01,2014
02,2016
03,2014
04,2020
05,2015
06,2016
07,2021
08,2018
09,2014
10,2007
11,2019
12,2019
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20140101:0000,10.066130000000044,90.41474130836056,0.0,0.0,0.0,0.0,0.8695395826262918,57.76739706363144,1025.1181
20140101:0100,10.009420000000034,87.83751095536624,0.0,0.0,0.0,0.0,1.3117881842234478,64.66510900578496,1024.42125
20140101:0200,9.949180000000013,87.60105494779017,0.0,0.0,0.0,0.0,0.97993622502096,56.80012145587172,1023.60625
20140101:0300,10.16464000000002,86.56502981998042,0.0,0.0,0.0,0.0,1.0974561388846709,28.73628048694933,1023.33875
20140101:0400,10.115380000000016,85.468963349938,0.0,0.0,0.0,0.0,1.158689440759133,12.288688330701008,1023.1425
20140101:0500,10.05874,85.67185468568651,0.0,0.0,0.0,0.0,1.0601888943516888,12.980771764517897,1023.30375
20140101:0600,10.06057000000004,86.83800024108066,0.0,0.0,0.0,0.0,1.0094429272106578,20.751786776472755,1022.94625
20140101:0700,9.281100000000038,86.80184926360839,5.3509,21.7168,4.2358,5.56590045527861,0.964754516714848,29.23063993734677,1023.4619
20140101:0800,9.85226,84.23761938581137,125.4639,398.4727,54.6261,175.7528948446474,1.328259974807801,40.405108081803085,1023.56
20140101:0900,11.031300000000044,81.12101543845218,316.8031,671.0118,91.6564,439.67724551903007,1.3488894029325198,57.00813977169939,1024.1219
20140101:1000,14.19580000000002,58.03002444009792,480.9503,791.7549,110.9385,664.1431814114468,1.0067520809024322,95.36936134877898,1024.67375
20140101:1100,15.31650000000002,50.22679947699725,592.4131,849.3016,120.6584,826.1319935946098,0.7100091581851115,175.0697807911656,1024.8756
20140101:1200,16.19192000000004,44.90612080114555,639.8265,870.099,124.0124,911.7237008837592,1.4562232188954067,213.8830559883488,1024.1606
20140101:1300,17.098900000000015,42.39305728428231,619.0972,862.0599,121.9859,912.975783325276,2.05829349847428,230.0227931463647,1023.3344
20140101:1400,18.054400000000044,39.62866730956839,530.9714,817.5557,115.2997,823.6743209668062,2.687989311768877,248.38455349930595,1022.3644
20140101:1500,17.57797000000005,40.705649552013575,352.8125,591.3937,124.7513,569.4041294111282,3.068351243377606,256.79312153405044,1022.2931
20140101:1600,16.981400000000008,42.25151822899893,202.6941,546.4567,71.0668,395.1044332333033,3.103636381272948,259.751918446863,1022.1506
20140101:1700,16.05110000000002,55.64570314283544,33.1875,135.8089,19.4801,72.35241222014973,2.83320217685374,266.8265029385,1022.5975
20140101:1800,15.576560000000027,63.68932140489334,0.0,0.0,0.0,0.0,1.8930183260508904,264.1420307152987,1022.7819
20140101:1900,14.748829999999998,73.7332393131798,0.0,0.0,0.0,0.0,1.3126148167861749,270.4389297952057,1023.4956
20140101:2000,12.604399999999998,83.91600060729097,0.0,0.0,0.0,0.0,1.518028174926102,280.4034921055446,1023.7781
20140101:2100,11.463700000000015,84.98747353427845,0.0,0.0,0.0,0.0,1.085828101418673,263.85533211851794,1024.03125
20140101:2200,11.219400000000007,88.93417934235023,0.0,0.0,0.0,0.0,0.8395557052706576,251.9052210178152,1024.3456
20140101:2300,10.865470000000016,91.16605364474324,0.0,0.0,0.0,0.0,0.8294049887099887,0.3267684408075695,1024.45125
20140102:0000,10.51565000000005,88.7255441658946,0.0,0.0,0.0,0.0,0.6477075750374774,31.57743624104724,1024.2775
20140102:0100,10.295299999999996,89.73884913934471,0.0,0.0,0.0,0.0,0.6389903017843718,43.63381571623017,1023.895
20140102:0200,9.893520000000024,89.95704844578314,0.0,0.0,0.0,0.0,0.9475501662183874,17.82397076849061,1023.4531
20140102:0300,9.356070000000043,91.08777559265955,0.0,0.0,0.0,0.0,1.117666592307781,10.96154376601052,1023.25375
20140102:0400,9.73440000000005,89.11577646642472,0.0,0.0,0.0,0.0,1.4125260823811026,18.741455790794475,1022.9469
20140102:0500,8.930020000000013,90.1487204255738,0.0,0.0,0.0,0.0,1.2708078539748526,29.246712947205417,1022.6044
20140102:0600,8.691200000000038,89.82618516895056,0.0,0.0,0.0,0.0,1.1733132154178627,40.79380814386517,1022.615
20140102:0700,8.684660000000008,88.93832701565485,5.3019,23.6936,4.0986,5.532460809911175,1.113556128631911,39.34376290122595,1022.85125
20140102:0800,9.640530000000012,84.55306914053858,126.2626,425.6276,51.156,180.2268015452377,0.9946088713952076,20.96386255499675,1023.3694
20140102:0900,11.59304000000003,75.66327146858372,316.1949,693.0856,83.9194,443.0847246978714,0.9861680690530548,9.962376612552902,1023.8819
20140102:1000,15.901760000000024,44.009939763633255,478.2058,807.2461,100.8112,664.8414996163195,0.0907294545885207,38.44460979047672,1024.45375
20140102:1100,16.580039999999997,39.570422671939085,588.169,860.6445,109.5308,824.8467359930906,0.4869222923616533,211.4296505686508,1024.3175
20140102:1200,18.231400000000008,37.83024598409238,635.2393,879.4343,112.8861,909.9130184409992,1.1862255167358322,224.5340894862645,1023.4769
20140102:1300,18.99700000000001,40.0495808688624,615.298,870.8986,111.7338,912.0907340502808,1.912538246485589,247.7242443699276,1022.6881
20140102:1400,19.61825000000005,43.21028405599127,530.1262,832.3223,105.6199,828.4044282805618,2.593640402688636,261.6663450726901,1022.08625
20140102:1500,18.945280000000025,46.8322702988553,387.7874,748.0268,92.6464,659.6278154946488,2.9603119586119,267.9762843331173,1021.89625
20140102:1600,18.46040000000005,49.38747770761726,205.0608,563.8774,68.1205,403.8006250863408,3.109958040643827,270.84591384851115,1022.1075
20140102:1700,17.558250000000044,61.1495486876882,34.6935,146.6297,19.6749,77.11741994759865,2.939258966171878,274.83085425792206,1022.25875
20140102:1800,16.511770000000013,69.09230699883324,0.0,0.0,0.0,0.0,1.984580697954611,271.016792975384,1022.6475
20140102:1900,15.428600000000015,76.64795398604547,0.0,0.0,0.0,0.0,1.166858530893531,274.0740863542383,1023.2375
20140102:2000,14.032740000000048,81.38569094090187,0.0,0.0,0.0,0.0,1.326106667538833,268.0422422304964,1023.7881
20140102:2100,13.662440000000004,85.46427676241008,0.0,0.0,0.0,0.0,0.6605883553108274,282.1786876561232,1024.2206
20140102:2200,11.365560000000016,92.61761003856608,0.0,0.0,0.0,0.0,0.3616786044774372,131.74555343536008,1024.43375
20140102:2300,10.139730000000045,92.43871432526136,0.0,0.0,0.0,0.0,0.53279453992637,68.19493332739992,1024.6581
20140103:0000,10.581500000000004,88.92940018111129,0.0,0.0,0.0,0.0,0.7311131037130507,48.01749821257438,1024.6919
20140103:0100,10.924220000000048,86.10661261540501,0.0,0.0,0.0,0.0,0.6584492202090021,38.7620375716909,1024.3381
20140103:0200,9.674400000000048,85.86013953769938,0.0,0.0,0.0,0.0,0.6582504364085463,27.993109248577262,1024.2269
20140103:0300,10.455100000000016,84.40940779062397,0.0,0.0,0.0,0.0,0.8873313011409599,24.249803553346624,1024.175
20140103:0400,10.874540000000025,82.95627798761375,0.0,0.0,0.0,0.0,1.2097020181045093,22.76718687585808,1024.1144
20140103:0500,10.224330000000007,83.53559727487585,0.0,0.0,0.0,0.0,1.221316628903648,22.722504641003724,1023.91
20140103:0600,9.98660000000001,82.71504230732532,0.0,0.0,0.0,0.0,1.0575936111322028,20.41526996802469,1024.0144
20140103:0700,9.795299999999996,83.24034604082476,5.6319,36.9679,3.7994,6.099519440712608,0.7620488918078094,13.205637049207354,1024.5375
20140103:0800,10.150050000000022,81.65286730060713,132.5047,517.5078,42.7771,199.8713779283545,0.6796703994766948,10.969624568007587,1025.0406
20140103:0900,12.24860000000001,75.04191483366849,324.2068,768.8748,67.0268,465.8706498079652,0.6590539291861794,27.53031120332649,1025.675
20140103:1000,16.670600000000036,42.52787100003906,472.7058,812.9488,93.5604,661.3771098614307,0.6552983218123349,121.18752702384386,1025.99625
