datetime_x,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,DHI,DNI,Temperature,Dew Point,Wind Speed,Wind Direction,Relative Humidity,Pressure,Surface solar radiation downwards,datetime_y,min_temp,max_temp,min_dew,max_dew,max_wind_speed,GTI
2005-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.916740000000004,8.552549999999997,2.5449373882316686,253.6119331107068,97.5669516124622,1033.3094,0.0,2005-01-01,8.916740000000004,11.244870000000049,8.400320000000022,10.533140000000005,3.7736622049786384,0.0
2005-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.993040000000008,8.615380000000016,2.6628381452671888,253.4626792294092,97.47949967559214,1032.6575,0.0,2005-01-01,8.916740000000004,11.244870000000049,8.400320000000022,10.533140000000005,3.7736622049786384,0.0
2005-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.01180000000005,8.613580000000013,2.650644599092932,255.03760578001385,97.3442990527673,1032.3825,0.0,2005-01-01,8.916740000000004,11.244870000000049,8.400320000000022,10.533140000000005,3.7736622049786384,0.0
2005-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.126180000000032,8.699060000000031,2.6459373165402087,258.9357256160176,97.15658800297244,1032.0544,0.0,2005-01-01,8.916740000000004,11.244870000000049,8.400320000000022,10.533140000000005,3.7736622049786384,0.0
2005-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.250200000000008,8.83035000000001,2.486947790929713,260.6041398699569,97.20713036776225,1031.7631,0.0,2005-01-01,8.916740000000004,11.244870000000049,8.400320000000022,10.533140000000005,3.7736622049786384,0.0
2005-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.351740000000008,8.923580000000015,2.2684970392905104,256.34811469275,97.15484204128958,1031.4931,0.0,2005-01-01,8.916740000000004,11.244870000000049,8.400320000000022,10.533140000000005,3.7736622049786384,0.0
2005-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.371000000000038,8.975240000000042,2.1313557640975493,251.302768369791,97.36802272156812,1031.3669,0.0,2005-01-01,8.916740000000004,11.244870000000049,8.400320000000022,10.533140000000005,3.7736622049786384,0.0
2005-01-01 07:00:00,6.0263,1.8141,0.3727,1.4414,10.7978,0.228,0.228,0.0,9.443140000000028,9.041830000000004,2.1247848481189364,248.9152232682828,97.33307638926334,1031.3556,0.0,2005-01-01,8.916740000000004,11.244870000000049,8.400320000000022,10.533140000000005,3.7736622049786384,0.2165451720235695
2005-01-01 08:00:00,148.1361,76.5856,46.6991,29.8865,399.4939,9.1861,9.1861,0.0,9.579060000000029,9.186800000000003,2.112633021806258,244.3264622408348,97.39532885508385,1031.4625,1344.0,2005-01-01,8.916740000000004,11.244870000000049,8.400320000000022,10.533140000000005,3.7736622049786384,8.724585985639088
2005-01-01 09:00:00,317.1568,200.8567,149.6711,51.1856,658.5554,19.1429,19.1429,0.0,9.965720000000031,9.60504000000003,2.163678323708333,238.8791496252396,97.610128794867,1031.84625,26624.0,2005-01-01,8.916740000000004,11.244870000000049,8.400320000000022,10.533140000000005,3.7736622049786384,18.18115163828943
2005-01-01 10:00:00,437.8326,298.4016,236.9656,61.436,760.7991,55.5987,55.5987,0.0,9.999870000000044,9.604800000000012,2.419939841013317,231.6888233976317,97.3856149968594,1032.095,87552.0,2005-01-01,8.916740000000004,11.244870000000049,8.400320000000022,10.533140000000005,3.7736622049786384,52.8053949815212
2005-01-01 11:00:00,501.9434,351.7929,285.5254,66.2675,800.7164,123.187,121.5438,4.5238,10.602900000000034,9.93276000000003,2.684946359883506,236.20201297228053,95.62179795563466,1031.7006,169344.0,2005-01-01,8.916740000000004,11.244870000000049,8.400320000000022,10.533140000000005,3.7736622049786384,118.85246964340632
2005-01-01 12:00:00,505.1223,353.8316,286.1408,67.6908,797.3819,154.3907,149.1074,14.6063,11.161770000000049,10.193200000000047,3.064350290970202,238.3563122664985,93.75411915092718,1031.19125,234816.0,2005-01-01,8.916740000000004,11.244870000000049,8.400320000000022,10.533140000000005,3.7736622049786384,153.12702645860963
