datetime_x,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,DHI,DNI,Temperature,Dew Point,Wind Speed,Wind Direction,Relative Humidity,Pressure,Surface solar radiation downwards,datetime_y,min_temp,max_temp,min_dew,max_dew,max_wind_speed,GTI,Year
2009-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.359500000000024,10.723700000000008,1.4696724193963209,122.54035962779184,95.86654338109864,1023.5306,0.0,2009-01-01,8.888360000000034,17.835140000000024,7.902300000000025,11.321560000000034,1.7738677545335362,0.0,2009
2009-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11062000000004,10.333100000000002,1.7738677545335362,122.44318230953628,94.95618423718211,1023.4469,0.0,2009-01-01,8.888360000000034,17.835140000000024,7.902300000000025,11.321560000000034,1.7738677545335362,0.0,2009
2009-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.402600000000009,9.684470000000031,1.6221522566652766,124.84516830876164,95.30749763491404,1023.04,0.0,2009-01-01,8.888360000000034,17.835140000000024,7.902300000000025,11.321560000000034,1.7738677545335362,0.0,2009
2009-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.025000000000034,9.254970000000014,1.478207054792101,128.5282777269643,94.9611578889553,1023.18125,0.0,2009-01-01,8.888360000000034,17.835140000000024,7.902300000000025,11.321560000000034,1.7738677545335362,0.0,2009
2009-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.620360000000003,8.741780000000006,1.487960922143798,131.95236157003276,94.2510275413236,1023.0944,0.0,2009-01-01,8.888360000000034,17.835140000000024,7.902300000000025,11.321560000000034,1.7738677545335362,0.0,2009
2009-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.064050000000009,8.17697000000004,1.395422757172683,132.52718873478514,94.17161281351989,1023.1469,0.0,2009-01-01,8.888360000000034,17.835140000000024,7.902300000000025,11.321560000000034,1.7738677545335362,0.0,2009
2009-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.888360000000034,7.902300000000025,1.2518040567218307,138.48524358397293,93.53138906461616,1023.3006,0.0,2009-01-01,8.888360000000034,17.835140000000024,7.902300000000025,11.321560000000034,1.7738677545335362,0.0,2009
2009-01-01 07:00:00,21.8855,7.5495,1.7262,5.8233,29.6487,6.6651,5.8676,13.6979,9.017100000000028,7.988550000000032,1.2485047517936436,143.15391124201994,93.26788367202111,1023.87125,0.0,2009-01-01,8.888360000000034,17.835140000000024,7.902300000000025,11.321560000000034,1.7738677545335362,6.778928433890978,2009
2009-01-01 08:00:00,238.8074,134.6654,78.8361,55.8293,429.4462,132.2886,58.2859,385.5498,9.725670000000036,8.178520000000049,1.528074258113879,148.26352356246122,90.08136905919906,1024.2144,21376.0,2009-01-01,8.888360000000034,17.835140000000024,7.902300000000025,11.321560000000034,1.7738677545335362,181.0966013429593,2009
2009-01-01 09:00:00,470.8611,321.6165,234.938,86.6786,696.1835,321.6165,86.6786,696.1835,11.5616,9.842300000000025,1.545629076695832,156.7194135052098,89.18456431219418,1024.635,366016.0,2009-01-01,8.888360000000034,17.835140000000024,7.902300000000025,11.321560000000034,1.7738677545335362,456.686034799018,2009
2009-01-01 10:00:00,651.2321,478.3001,378.462,99.8381,816.5765,478.3001,99.8381,816.5765,14.64593000000002,11.238280000000032,1.5456583349000097,166.36392716232558,80.02307093273748,1025.4544,859136.0,2009-01-01,8.888360000000034,17.835140000000024,7.902300000000025,11.321560000000034,1.7738677545335362,677.3512503608769,2009
2009-01-01 11:00:00,767.6318,581.8294,477.3359,104.4935,875.0869,581.8294,104.4935,875.0869,15.950900000000049,10.94186000000002,1.7043173221230172,180.772043720202,72.15955240404116,1025.1444,1538944.0,2009-01-01,8.888360000000034,17.835140000000024,7.902300000000025,11.321560000000034,1.7738677545335362,834.0753910292315,2009
2009-01-01 12:00:00,812.1293,621.788,516.5027,105.2852,895.3578,621.788,105.2852,895.3578,16.54077000000001,10.328820000000007,1.2583009347235432,188.21421242218983,66.71733784947116,1024.0925,1876224.0,2009-01-01,8.888360000000034,17.835140000000024,7.902300000000025,11.321560000000034,1.7738677545335362,912.9862276289525,2009
2009-01-01 13:00:00,781.6916,594.8018,491.4743,103.3275,884.9716,594.8018,103.3275,884.9716,16.917050000000017,10.613760000000012,0.8317721584456557,226.6821729851481,66.3927466253698,1023.355,2129408.0,2009-01-01,8.888360000000034,17.835140000000024,7.902300000000025,11.321560000000034,1.7738677545335362,906.5893914982192,2009
