datetime,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,DHI,DNI,Temperature,Dew Point,Wind Speed,Wind Direction,Relative Humidity,Pressure,Surface solar radiation downwards
2015-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.954000000000008,4.139949999999999,2.1729377063295967,75.1479415877659,88.12554514191586,1029.3469,0.0
2015-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.903099999999995,4.215100000000007,2.141932166869581,81.37722254395273,88.9040538566198,1029.2944,0.0
2015-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.673060000000021,3.335840000000019,1.973999941107157,88.8280321647217,91.0305018429662,1028.835,0.0
2015-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.980070000000012,2.716000000000008,1.9267188970019196,90.42336010926276,91.45597137016443,1028.7606,0.0
2015-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.768000000000029,2.471519999999998,1.951779701537236,86.62512231934164,91.23115558072848,1028.5456,0.0
2015-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.193840000000023,2.000699999999995,2.038670987674144,78.31824781670268,91.8676881197996,1028.5875,0.0
2015-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4102400000000443,1.725240000000042,2.1709683442053804,74.08491724448437,88.7082749929969,1029.02625,0.0
2015-01-01 07:00:00,22.1597,9.6692,4.719,4.9503,85.7709,9.6692,4.9503,85.7709,3.343230000000005,1.699670000000026,2.3443138805262618,74.45924068433725,88.96611658980956,1029.9381,0.0
2015-01-01 08:00:00,239.2787,155.6209,116.1921,39.4288,651.2798,155.6209,39.4288,651.2798,4.078200000000038,1.8761499999999955,2.5542889886118934,80.24192496637615,85.55077294732499,1030.51,31808.0
2015-01-01 09:00:00,471.0952,352.2691,294.2346,58.0346,874.5405,352.2691,58.0346,874.5405,6.433800000000019,3.4115000000000464,2.5380145484050503,84.3560732552945,80.99201314618773,1031.3819,505472.0
2015-01-01 10:00:00,651.1857,513.188,446.2754,66.9127,963.6808,513.188,66.9127,963.6808,11.753000000000045,4.788049999999998,2.1268305260666875,84.83497166629719,62.3185447696345,1031.7644,1177600.0
2015-01-01 11:00:00,767.281,618.6161,547.54,71.0761,1004.4061,618.6161,71.0761,1004.4061,13.607420000000047,5.374660000000006,1.8826069009225528,66.65945414643684,57.48926507695264,1031.6544,1744128.0
2015-01-01 12:00:00,811.4708,658.222,585.3754,72.8466,1015.5663,658.222,72.8466,1015.5663,14.943570000000022,5.119100000000003,2.06940015411122,46.58020051909596,51.79840095504559,1029.99125,2121088.0
2015-01-01 13:00:00,780.7432,628.7203,556.0624,72.6579,1002.5013,628.7203,72.6579,1002.5013,15.740260000000037,4.797020000000032,2.330352496944589,33.58466408492562,48.12396478625604,1029.3031,2263488.0
2015-01-01 14:00:00,677.1902,533.4453,464.0873,69.358,963.8527,533.4453,69.358,963.8527,17.295900000000017,3.814170000000047,2.5708470992931494,25.051037948275308,40.68992611508438,1028.66625,2159552.0
2015-01-01 15:00:00,507.8664,380.3748,317.9259,62.4489,877.1815,380.3748,62.4489,877.1815,17.455160000000035,3.51284000000004,2.6659003340159777,21.975089688249938,39.43636637157928,1028.5919,1822336.0
2015-01-01 16:00:00,284.3065,187.4283,140.7015,46.7268,674.0447,187.4283,46.7268,674.0447,17.149680000000046,3.649380000000008,2.5769630803603785,26.448984247521565,40.59391823468434,1028.6306,1286528.0
