Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
Green Energy Park,-,Riofrío de Riaza-Spain,-,Morocco,41.214248,-3.448011,UTC+0,1678.0,UTC+1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Relative Humidity
2014,1,1,0,0,0.0,0.0,0.0,2.6005499999999984,3.722380000000044,1020.4694,207.7019725182344,2.741033135816012,92.36855538861388
2014,1,1,1,0,0.0,0.0,0.0,2.483670000000018,3.4938000000000216,1020.43375,212.23924076640495,2.7988974933047563,93.09213547549274
2014,1,1,2,0,0.0,0.0,0.0,2.226530000000025,3.0351200000000063,1020.17375,213.77653653655028,2.860265007013896,94.4153031699761
2014,1,1,3,0,0.0,0.0,0.0,2.5663000000000125,3.283780000000036,1019.67875,212.13087967682384,2.95748300075875,95.04032062990746
2014,1,1,4,0,0.0,0.0,0.0,2.514370000000042,3.2696800000000508,1019.2425,210.39958859307043,2.920783144960653,94.78437805518088
2014,1,1,5,0,0.0,0.0,0.0,2.5384800000000496,3.088040000000035,1018.9775,208.91816176027984,2.799349357560326,96.17514985095256
2014,1,1,6,0,0.0,0.0,0.0,2.398950000000013,2.935570000000041,1019.02625,204.9162215511675,2.8366707717476767,96.25911761966393
2014,1,1,7,0,0.0001,1.5365,1.5365,2.3138700000000085,2.8025800000000345,1018.9544,199.8499464001248,2.986931675777753,96.58434078073778
2014,1,1,8,0,0.384,56.3165,56.3847,2.2684300000000235,3.3405400000000327,1018.63375,193.30565575354305,3.209476166374616,92.67352716185007
2014,1,1,9,0,0.1661,48.5509,48.585,2.5853800000000438,3.609430000000032,1018.8694,202.13020975095307,3.716019346451217,93.006355283232
