Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
Green Energy Park,-,Tagleft-Morocco,-,Morocco,32.178132,-6.124692,UTC+0,1370.0,UTC+1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Relative Humidity
2010,1,1,0,0,0.0,0.0,0.0,0.0940800000000194,1.1756200000000376,1021.52,166.20691330411972,1.373453195257108,92.48368206492358
2010,1,1,1,0,0.0,0.0,0.0,-0.3113799999999855,1.069880000000012,1020.72125,156.76691029329635,1.2744776563819586,90.48348625655603
2010,1,1,2,0,0.0,0.0,0.0,-1.4519999999999982,0.0738200000000119,1020.2894,155.0001943516013,1.0045309363761394,89.45366685086114
2010,1,1,3,0,0.0,0.0,0.0,-2.006719999999973,0.395840000000021,1019.6081,152.46947909907976,0.9630557723407468,83.89030696954208
2010,1,1,4,0,0.0,0.0,0.0,-2.5732799999999543,0.2414800000000241,1019.5731,154.01841923111223,0.7290800270652262,81.34951465209039
2010,1,1,5,0,0.0,0.0,0.0,-3.360969999999952,0.5138000000000034,1019.4094,152.49857532463432,0.7528764242589036,75.21905714502168
2010,1,1,6,0,0.0,0.0,0.0,-4.20572999999996,0.4772600000000011,1019.7581,152.15838543151048,0.973430689715205,70.79121055466348
2010,1,1,7,0,115.8333,8.0975,15.8516,-4.413279999999986,0.9418600000000196,1019.955,153.84236955443316,0.9443067405697784,67.39465572914696
2010,1,1,8,0,664.6317,44.6149,173.3091,-3.5487399999999525,2.285850000000039,1021.3494,182.52200495437984,0.396700776161837,65.31022046939194
2010,1,1,9,0,872.1077,61.1626,364.4423,0.2368700000000103,3.79770000000002,1022.1906,169.2676276139878,0.5765214344441484,77.5412871842912
2010,1,1,10,0,957.4298,68.0336,516.7262,0.0675300000000334,7.289450000000045,1022.395,199.92022817238217,0.9194375406975066,60.1105583952743
2010,1,1,11,0,916.2563,92.6986,591.6133,1.367270000000019,8.345000000000027,1021.12125,247.87518544079504,1.0361174864966582,61.44262387089918
2010,1,1,12,0,1006.6732,70.8329,643.5974,2.171000000000049,9.116420000000003,1020.045,275.725374376309,1.3300909761242743,61.772327503513466
2010,1,1,13,0,993.8701,69.3624,607.0024,2.679830000000038,9.92147,1019.5481,282.4070051284515,1.4480793198998805,60.67751104500579
2010,1,1,14,0,954.6794,65.1839,506.469,2.3682000000000016,11.186270000000036,1019.01375,280.4832988433783,1.4482308908027202,54.549181705818384
2010,1,1,15,0,852.8535,58.5511,348.3167,2.5523300000000404,11.34426000000002,1018.9275,285.982916160976,1.3442771946046137,54.69303811185754
2010,1,1,16,0,648.1848,40.5615,158.9923,3.099450000000047,10.534940000000006,1019.1531,302.6411555262915,1.0296891732506075,59.999491145780205
2010,1,1,17,0,94.7556,5.9616,11.5854,4.119840000000011,8.71505000000002,1019.6975,327.2683017630509,0.7593191057618967,72.85610483264766
2010,1,1,18,0,0.0,0.0,0.0,3.5704000000000065,8.091330000000028,1019.7906,113.73190221894868,0.4985316288555489,73.12134850289908
2010,1,1,19,0,0.0,0.0,0.0,1.995140000000049,5.322600000000023,1019.3475,132.562842077892,1.5160467967174696,79.09562903129448
2010,1,1,20,0,0.0,0.0,0.0,1.9295600000000377,3.663630000000012,1018.8475,136.56658971409598,1.4934063451455033,88.41971044152885
2010,1,1,21,0,0.0,0.0,0.0,0.0351200000000062,1.5621600000000058,1019.1344,140.74040723478797,0.8459383301202574,89.56768735071859
2010,1,1,22,0,0.0,0.0,0.0,-1.3254999999999768,0.4165000000000418,1019.48625,137.9728436453229,0.7125433991633635,88.07397508925297
2010,1,1,23,0,0.0,0.0,0.0,-2.173959999999965,-0.5878699999999526,1019.545,135.10940411970262,1.073609650137381,89.00138402101963
2010,1,2,0,0,0.0,0.0,0.0,-3.1009300000000053,-1.4258499999999683,1018.8206,135.27815888617215,1.3179319686285669,88.34134952922884
2010,1,2,1,0,0.0,0.0,0.0,-3.428319999999985,-1.354159999999979,1018.4219,134.87845297120063,1.2816986746948007,85.75638415845887
2010,1,2,2,0,0.0,0.0,0.0,-4.020849999999996,-1.5932999999999993,1018.1844,135.97432402388537,1.167516476715566,83.48817114844213
2010,1,2,3,0,0.0,0.0,0.0,-4.113929999999982,-1.4908999999999537,1018.2275,137.44505088101204,1.068052326138225,82.28424779549361
2010,1,2,4,0,0.0,0.0,0.0,-4.123479999999972,-0.9735000000000014,1018.1481,138.295826832261,1.0946993100081022,79.16225552976503
2010,1,2,5,0,0.0,0.0,0.0,-4.497349999999983,-0.8974999999999795,1017.915,137.2527546640837,1.2297124319903463,76.53840268809196
2010,1,2,6,0,0.0,0.0,0.0,-4.609099999999955,-0.4642999999999802,1018.0244,136.3553855391831,1.2420894466802104,73.53221151750328
2010,1,2,7,0,158.11,6.6146,16.8055,-4.833649999999977,-0.5099999999999909,1017.9519,135.98499191240208,1.1893939277420262,72.53678319568758
2010,1,2,8,0,747.9969,34.9394,178.4154,-4.254219999999975,0.6879500000000007,1018.4306,136.00523736042624,1.1334593615492397,69.46748728592098
2010,1,2,9,0,930.5527,47.7834,371.0548,0.1607999999999947,4.03036000000003,1018.9406,136.90579073560056,1.1949070994827211,75.86324777954357
2010,1,2,10,0,1002.3614,54.3221,524.3723,4.784019999999998,11.64930000000004,1019.63625,146.5088002508503,1.5094841724732988,62.72916558531429
2010,1,2,11,0,1034.072,57.7748,621.4325,-1.4115999999999644,14.28018000000003,1019.88125,198.71543299603692,0.9975075233537488,33.88542164474271
2010,1,2,12,0,1039.3448,59.9283,652.5977,-1.4196000000000026,14.485929999999996,1019.0944,251.68571083289845,1.7665917221319145,33.418000480615106
2010,1,2,13,0,1021.5061,60.9199,615.2225,-1.0583999999999492,14.469570000000031,1018.68125,266.04704320192263,2.148131029130965,34.35181373929327
